"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"ATTINY88";"TQFP32-08";"IC1";"";"";
"1";" 61400416021 ";"61400416021";"61400416021";"X3.1";"WR-COM USB 2.0 Type A Horizontal";"";
"1";"0.33F";"SUPERCAP";"C_FYD0H104ZF";"C3.1";"";"";
"10";"100k";"R-EU_R0805";"R0805";"R5.1, R5.2, R5.3, R5.4, R5.5, R5.6, R5.7, R5.8, R5.9, R5.10";"RESISTOR, European symbol";"";
"8";"100n";"C-EUC0805";"C0805";"C1.1, C1.2, C1.3, C1.4, C1.5, C1.6, C1.7, C1.8";"CAPACITOR, European symbol";"";
"3";"10k";"R-EU_R0805";"R0805";"R1.1, R1.2, R1.3";"RESISTOR, European symbol";"";
"4";"10u";"C-EUC0805";"C0805";"C2.1, C2.2, C2.3, C2.4";"CAPACITOR, European symbol";"";
"1";"1M";"R-EU_R0805";"R0805";"R6.1";"RESISTOR, European symbol";"";
"6";"1k";"R-EU_R0805";"R0805";"R2.1, R2.2, R2.3, R2.4, R2.5, R2.6";"RESISTOR, European symbol";"";
"1";"20m";"R-EU_R0805";"R0805";"R8.1";"RESISTOR, European symbol";"";
"1";"330u";"CPOL-EUD";"PANASONIC_D";"C4.1";"POLARIZED CAPACITOR, European symbol";"";
"2";"3k";"R-EU_R0805";"R0805";"R4.1, R4.2";"RESISTOR, European symbol";"";
"2";"47";"R-EU_R0805";"R0805";"R3.1, R3.2";"RESISTOR, European symbol";"";
"3";"4k7";"R-EU_R0805";"R0805";"R7.1, R7.2, R7.3";"RESISTOR, European symbol";"";
"4";"5p";"C-EUC0805";"C0805";"C5.1, C5.2, C5.3, C5.4";"CAPACITOR, European symbol";"";
"1";"7-SEGMENT-6DIGIT-FJ3661BH";"7-SEGMENT-6DIGIT-FJ3661BH";"7SEG_6D_FJ3661BH";"SEG1.1";"2 Digit 7 Segment Display";"";
"3";"BAT54S";"BAT54S";"SOT23";"D1.1, D1.2, D1.3";"Schottky Diodes";"";
"2";"BC817DPN";"BC817DPN";"SOT23-6";"Q2.1, Q2.2";"";"";
"1";"DHT-4235A";"SMD-BUTTON-TOP-DHT-4235A(4P-4.2X3.2MM)";"SW4-SMD-4.2X3.2X2.5MM";"SW1.1";"311020045";"";
"1";"DSS24";"DIODE_SOD123";"SOD-123";"D2.1";"";"";
"1";"INA180";"INA180";"SOT23-5";"IC5.1";"";"";
"1";"JST-XH-06-PIN-ANGLED";"JST-XH-06-PIN-ANGLED";"JST-XH-06-PACKAGE-ROUND-PAD-ANGLED";"X1.1";"JST XH Connector 2 Pin";"";
"1";"LM75B";"LM75B";"SO8";"IC2.1";"Digital temperature sensor and thermal watchdog";"";
"1";"MT3608";"MT3608";"SOT23-6";"IC8.1";"";"";
"1";"MT9700MT9700";"MT9700MT9700";"SOT23-5";"IC4.1";"";"";
"1";"TM1637-sop20";"DRIVER-TM1637(SOP20)";"SOP20-1.27-12.7X7.65MM";"IC6.1";"310040027";"";
"1";"TTP224NS";"TTP224NS";"SSOP16";"IC3.1";"";"";
"1";"TYA40202R2M-10";"WE-LQSH_4020_744050420047";"WE-LQSH_4020";"L1.1";"WE-LQSH SMD Semi-Shielded High Saturation Power Inductor";"";
"1";"WST2011";"CJL2623SOT23-6";"SOT23-6";"Q1.1";"";"";
"1";"ZX62-B-5PA";"MICRO-USB-SMD(ZX62-B-5PA)";"ZX62-B-5PA";"X2.1";"320010005";"";
"1";"green";"LEDKA-3528ASYC";"KA-3528ASYC";"LED1.1";"LED";"";
"1";"red";"LEDKA-3528ASYC";"KA-3528ASYC";"LED2.1";"LED";"";
"2";"white";"LEDCHIPLED_0805";"CHIPLED_0805";"LED3.1, LED3.2";"LED";"";
